Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;1;33;39;pick&drop_mission;14192;13346
0;1;35;49;pick&drop_mission;13346;14196
0;1;37;48;pick&drop_mission;14196;14243
0;1;40;41;pick&drop_mission;14243;1542
0;1;48;48;pick&drop_mission;1542;141
0;1;7;29;pick&drop_mission;304;14293
0;1;11;21;pick&drop_mission;14293;14188
0;1;13;28;pick&drop_mission;14188;13357
0;1;15;46;pick&drop_mission;13357;13355
0;1;17;40;pick&drop_mission;13355;13351
0;1;20;1;pick&drop_mission;13351;14192
0;1;21;59;pick&drop_mission;14192;13346
0;1;24;16;pick&drop_mission;13346;14196
0;1;26;27;pick&drop_mission;14196;14243
0;1;29;5;pick&drop_mission;14243;1542
0;1;47;7;pick&drop_mission;1542;197
0;1;30;4;pick&drop_mission;14243;1542
0;1;53;23;pick&drop_mission;1542;197
0;1;12;20;pick&drop_mission;13344;1542
0;1;39;17;pick&drop_mission;1542;197
0;1;43;31;pick&drop_mission;290;14188
0;1;47;40;pick&drop_mission;14188;13355
0;1;50;18;pick&drop_mission;13355;14194
0;1;1;28;pick&drop_mission;14192;1542
0;1;11;48;pick&drop_mission;1542;332
0;1;14;31;pick&drop_mission;318;14188
0;1;40;49;pick&drop_mission;14188;13357
0;1;42;59;pick&drop_mission;13357;13355
0;1;44;58;pick&drop_mission;13355;13351
0;1;47;27;pick&drop_mission;13351;14192
0;1;49;5;pick&drop_mission;14192;1542
0;1;57;28;pick&drop_mission;1542;197
0;1;14;24;pick&drop_mission;14293;13357
0;1;33;23;pick&drop_mission;13357;13353
0;1;35;16;pick&drop_mission;13353;13343
0;1;31;56;pick&drop_mission;297;14188
0;1;36;16;pick&drop_mission;14188;13351
0;1;39;5;pick&drop_mission;13351;14192
0;1;41;20;pick&drop_mission;14192;13343
0;1;4;36;pick&drop_mission;14196;1549
0;1;33;21;pick&drop_mission;1549;13344
0;1;44;34;pick&drop_mission;13344;141
0;1;6;59;pick&drop_mission;1542;332
0;1;9;38;pick&drop_mission;304;14190
0;1;20;10;pick&drop_mission;14190;13352
0;1;22;8;pick&drop_mission;13352;14192
0;1;24;34;pick&drop_mission;14192;13342
0;1;26;36;pick&drop_mission;13342;14196
0;1;28;6;pick&drop_mission;14196;14243
0;1;34;40;pick&drop_mission;14243;1549
0;1;51;11;pick&drop_mission;1549;332
0;1;54;13;pick&drop_mission;297;14293
0;1;57;35;pick&drop_mission;14293;14188
0;1;59;46;pick&drop_mission;14188;13357
0;1;0;25;pick&drop_mission;14243;1542
0;1;13;51;pick&drop_mission;1542;197
0;1;17;4;pick&drop_mission;290;14293
0;1;21;31;pick&drop_mission;14293;14188
0;1;23;48;pick&drop_mission;14188;13357
0;1;25;59;pick&drop_mission;13357;13355
0;1;28;8;pick&drop_mission;13355;13351
0;1;30;34;pick&drop_mission;13351;14192
0;1;32;20;pick&drop_mission;14192;13346
0;1;34;23;pick&drop_mission;13346;14196
0;1;36;50;pick&drop_mission;14196;14243
0;1;47;34;pick&drop_mission;14243;1542
0;1;59;22;pick&drop_mission;1542;141
0;1;17;18;pick&drop_mission;1549;141
