Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;9;55;2;missEBM;1966;4723
0;9;55;55;missEBM;1966;4709
0;9;56;47;missEBM;1524;1419
0;9;59;4;missEBM;1524;4669
0;10;0;19;missEBM;1524;1419
0;10;4;19;missEBM;1524;1419
0;10;5;30;missEBM;1524;1419
0;10;6;50;missEBM;1524;4669
0;10;7;3;missEBM;1977;4891
0;10;8;20;missEBM;1524;1419
0;10;9;22;missEBM;1966;2786
0;10;9;38;missEBM;1524;1419
0;10;10;52;missEBM;1524;5099
0;10;12;9;missEBM;1524;8938
0;10;13;20;missEBM;1524;1419
0;10;13;30;missEBM;1966;4653
0;10;15;13;missEBM;1966;4877
0;10;17;15;missEBM;1524;8939
0;10;18;12;missEBM;1977;2876
0;10;18;27;missEBM;1524;8940
0;10;18;42;missEBM;1966;5109
0;10;19;43;missEBM;1524;5099
0;10;19;54;missEBM;1977;8938
0;10;21;4;missEBM;1524;2646
0;10;22;20;missEBM;1524;4655
0;10;23;33;missEBM;1524;1419
0;10;23;51;missEBM;1977;4891
0;10;24;27;missEBM;1966;4849
0;10;24;51;missEBM;1524;8939
0;10;25;54;missEBM;1948;4767
0;10;26;3;missEBM;1524;1419
0;10;26;56;missEBM;1956;2776
0;10;27;22;missEBM;1977;2876
0;10;27;36;missEBM;1524;1419
0;10;28;37;missEBM;1948;4767
0;10;28;49;missEBM;1524;2636
0;10;30;5;missEBM;1524;1419
0;10;30;18;missEBM;1977;4737
0;10;30;21;missEBM;1956;4767
0;10;30;24;missEBM;1966;2866
0;10;31;22;missEBM;1524;1419
0;10;32;36;missEBM;1524;2636
0;10;33;54;missEBM;1977;8940
0;10;34;4;missEBM;1524;1419
0;10;35;18;missEBM;1524;4723
0;10;36;7;missEBM;1966;2876
0;10;37;14;missEBM;1524;1419
0;10;39;36;missEBM;1977;8940
0;10;40;51;missEBM;1966;2846
0;10;41;51;missEBM;1524;1419
0;10;43;35;missEBM;5192;4653
0;10;44;2;missEBM;1524;4669
0;10;44;28;missEBM;5194;4781
0;10;45;17;missEBM;1966;4851
0;10;45;21;missEBM;1524;1419
0;10;46;5;missEBM;1966;4891
0;10;47;36;missEBM;5192;2786
0;10;48;21;missEBM;1956;2646
0;10;48;36;missEBM;1524;2636
0;10;49;17;missEBM;1948;4655
0;10;50;16;missEBM;5194;4781
0;10;50;20;missEBM;1524;1419
0;10;51;5;missEBM;1966;2846
0;10;51;40;missEBM;1524;1419
0;10;52;52;missEBM;1524;2636
0;10;54;13;missEBM;1524;1419
0;10;55;45;missEBM;1524;1419
0;10;56;58;missEBM;1524;1419
0;10;58;5;missEBM;1966;4891
0;10;58;12;missEBM;1977;5099
0;10;58;16;missEBM;1524;1419
0;10;59;37;missEBM;1977;4669
0;10;59;46;missEBM;1524;4653
0;11;1;0;missEBM;1524;2776
0;11;2;27;missEBM;1524;1419
0;11;5;25;missEBM;1524;1419
0;11;6;36;missEBM;1524;1419
0;11;8;18;missEBM;1524;2636
0;11;9;37;missEBM;1524;1419
0;11;10;54;missEBM;1524;1419
0;11;12;23;missEBM;1966;4781
0;11;13;48;missEBM;1524;2786
0;11;15;30;missEBM;1524;1419
0;11;19;17;missEBM;1977;4891
0;11;20;11;missEBM;1524;1419
0;11;21;27;missEBM;1524;1419
0;11;22;23;missEBM;1977;2846
0;11;22;41;missEBM;1524;1419
0;11;23;53;missEBM;1524;1419
0;11;24;0;missEBM;1977;4851
0;11;25;31;missEBM;1524;2776
0;11;25;39;missEBM;1977;4821
0;11;26;44;missEBM;1524;1419
0;11;27;59;missEBM;1524;1419
0;11;30;38;missEBM;1524;1419
0;11;37;12;missEBM;1977;2846
0;11;38;53;missEBM;1977;4723
0;11;38;56;missEBM;1966;4709
0;11;39;56;missEBM;5192;4807
0;11;40;43;missEBM;5194;2816
0;11;41;34;missEBM;1956;4809
0;11;41;49;missEBM;1977;4851
0;11;42;26;missEBM;1948;4793
0;11;42;29;missEBM;1966;8938
0;11;44;12;missEBM;1966;2806
0;11;44;27;missEBM;1977;4795
0;11;44;57;missEBM;1524;1419
0;11;46;17;missEBM;5194;4795
0;11;46;26;missEBM;1966;2836
0;11;47;26;missEBM;1524;1419
0;11;47;31;missEBM;5192;4795
0;11;48;37;missEBM;1524;1419
0;11;50;1;missEBM;1966;4837
0;11;50;33;missEBM;1524;1419
0;11;51;46;missEBM;1524;1419
0;11;51;59;missEBM;1977;2310
0;11;53;5;missEBM;1956;4793
0;11;53;9;missEBM;1966;4711
0;11;54;21;missEBM;1977;2310
0;11;54;36;missEBM;1966;4821
0;11;54;40;missEBM;1948;4793
0;11;55;59;missEBM;1966;4711
0;11;56;12;missEBM;1977;8939
0;11;56;18;missEBM;1524;1419
0;11;57;41;missEBM;1966;4725
0;11;58;4;missEBM;1524;1419
0;11;59;1;missEBM;1977;4835
0;11;59;4;missEBM;1966;2776
0;11;59;18;missEBM;1524;4737
0;12;0;30;missEBM;5194;4793
0;12;0;34;missEBM;1524;1419
0;12;0;37;missEBM;1977;8940
0;12;0;51;missEBM;1966;2826
0;12;2;8;missEBM;1977;5099
0;12;2;33;missEBM;1524;1419
0;12;3;36;missEBM;1966;8938
0;12;3;46;missEBM;1524;1419
0;12;5;3;missEBM;1977;4891
0;12;6;20;missEBM;1966;2786
0;12;6;36;missEBM;1977;8939
0;12;7;31;missEBM;1524;4725
0;12;8;32;missEBM;1966;4863
0;12;9;55;missEBM;1977;4709
0;12;10;7;missEBM;1966;2310
0;12;11;54;missEBM;1966;8940
0;12;12;9;missEBM;1977;5109
0;12;14;3;missEBM;1966;4891
0;12;14;24;missEBM;1977;2876
0;12;15;36;missEBM;1966;4681
0;12;16;57;missEBM;1966;4683
0;12;17;12;missEBM;1524;1419
0;12;17;19;missEBM;5192;4807
0;12;18;41;missEBM;1966;5099
0;12;19;38;missEBM;1524;1419
0;12;20;54;missEBM;1524;1419
0;12;20;58;missEBM;1966;2876
0;12;22;7;missEBM;1524;1419
0;12;23;45;missEBM;1524;1419
0;12;26;15;missEBM;1524;1419
0;12;26;54;missEBM;1977;4891
0;12;27;34;missEBM;1524;1419
0;12;28;48;missEBM;1524;1419
0;12;29;58;missEBM;1524;2876
0;12;31;13;missEBM;1524;1419
0;12;31;27;missEBM;1966;2756
0;12;32;26;missEBM;1524;1419
0;12;33;39;missEBM;1524;1419
0;12;35;3;missEBM;1524;1419
0;12;36;16;missEBM;1524;1419
0;12;40;40;missEBM;1966;4891
0;12;40;52;missEBM;1524;2876
0;12;42;41;missEBM;1524;1419
0;12;43;57;missEBM;1966;4725
0;12;44;34;missEBM;1977;4835
0;12;45;31;missEBM;1966;4737
0;12;47;39;missEBM;1524;1419
0;12;49;5;missEBM;1524;1419
0;12;49;54;missEBM;1977;2776
0;12;51;49;missEBM;1977;4737
0;12;52;8;missEBM;1966;4725
0;12;53;19;missEBM;1977;5109
0;12;54;37;missEBM;1524;4739
0;12;54;58;missEBM;1977;4807
0;12;55;7;missEBM;1966;4835
